Timestamp,Emitter_ID,Radar_Function,RF_MHz,PW_us,PRI_us,Amplitude_dB,DOA_deg,Location_MGRS
2025-11-29 02:43:39,9,Coastal Defense,8037.211713,1.703634251,120.715773,5.590687162,236.0642195,51SUA399218
2025-12-09 18:43:22,2,Short-Range Fire Control / Tracking,10461.13513,0.372954062,53.66283025,15.12790248,125.4526001,50RPP298191
2025-11-30 21:16:57,7,Target Illumination,10518.64662,1.281281027,54.07720129,4.123521792,202.3568935,51STV518067
2025-12-11 12:41:34,1,Medium-Range Surveillance,9177.328499,3.461574704,201.3345002,19.33163668,40.46068892,51SXS985510
2025-11-22 14:13:20,6,Early Warning,9272.01346,5.326423708,443.1584531,14.50183888,17.79460935,52SDG142415
2025-11-22 13:12:29,6,Early Warning,9231.31508,4.512794742,404.3576731,16.75903344,4.337705354,52SDG142415
2025-12-16 06:23:47,8,Medium-Range Search / Ground Mapping,9725.214898,2.717789772,397.5647079,18.42835781,74.27630665,51RWL215712
2025-12-02 15:15:43,2,Short-Range Fire Control / Tracking,10454.64609,0.787704476,99.71702359,9.517985345,108.3852809,50RPP298191
2025-11-20 01:03:16,9,Coastal Defense,8100.683501,1.440065584,110.3181563,7.102789567,232.0397901,51SUA399218
2025-12-12 05:08:38,9,Coastal Defense,8033.916194,2.216297003,111.3770074,19.38235623,235.3579732,51SUA399218
2025-11-20 16:21:29,1,Medium-Range Surveillance,9150.21789,2.990063584,192.8408171,15.31733709,58.14329519,51SXS985510
2025-12-09 20:24:11,9,Coastal Defense,8085.621839,1.387825663,129.9249616,16.54072984,197.4285994,51SUA399218
2025-12-16 22:08:14,9,Coastal Defense,8032.311123,1.496195033,130.0125503,9.013477174,217.6750445,51SUA399218
2025-11-21 06:39:31,9,Coastal Defense,8110.731802,1.443150434,134.0122067,7.594816808,196.4528702,51SUA399218
2025-11-30 15:25:27,6,Early Warning,9209.225288,5.017169079,396.3452743,11.65222717,-13.65605376,52SDG142415
2025-11-24 02:07:08,4,Target Acquisition / Tracking,9805.196696,1.319265643,122.5314875,15.71388089,15.97756034,51SUT770698
2025-12-06 14:41:18,9,Coastal Defense,8108.927687,1.497864362,110.4528312,16.8741601,209.8962611,51SUA399218
2025-12-19 20:40:20,6,Early Warning,9183.412709,4.125356729,395.4982206,17.91691311,20.92622981,52SDG142415
2025-12-10 17:42:51,2,Short-Range Fire Control / Tracking,10499.58105,0.208387452,98.31149871,1.250852303,101.2225691,50RPP298191
2025-11-24 21:11:58,8,Medium-Range Search / Ground Mapping,9749.395794,2.569597915,404.3783348,21.21466073,100.7281285,51RWL215712
2025-11-27 08:11:09,8,Medium-Range Search / Ground Mapping,9691.415064,2.96273488,354.6830036,18.3131265,71.31771591,51RWL215712
2025-11-26 03:31:01,7,Target Illumination,10531.125,1.73508438,59.82042847,5.68528302,202.3958491,51STV518067
2025-12-09 00:09:25,2,Short-Range Fire Control / Tracking,10599.49607,0.929215871,96.87372284,14.48097336,97.28994722,50RPP298191
2025-12-19 01:23:57,8,Medium-Range Search / Ground Mapping,9790.6203,2.063597372,447.7402191,23.08925477,71.29246296,51RWL215712
2025-12-10 06:41:31,2,Short-Range Fire Control / Tracking,10528.5974,1.291953217,51.92012712,8.825386653,94.35169587,50RPP298191
2025-12-13 05:23:43,5,Air Traffic Control,11251.97984,0.298749925,793.7640561,2.348525481,323.6630473,51RWJ270490
2025-12-16 15:16:44,4,Target Acquisition / Tracking,9876.091333,3.114336379,111.2138518,27.98075269,39.24755022,51SUT770698
2025-12-10 00:57:49,9,Coastal Defense,8010.840052,1.242341178,119.9112286,6.940392151,244.1066502,51SUA399218
2025-12-15 00:27:13,1,Medium-Range Surveillance,9153.741778,3.176630743,207.7531939,14.11488507,44.96067233,51SXS985510
2025-12-07 07:55:56,8,Medium-Range Search / Ground Mapping,9762.248584,2.505654243,351.7219574,0.903957652,89.65030904,51RWL215712
2025-12-15 00:51:53,3,Naval/Ground Surveillance,8090.624094,2.529502259,365.7781507,13.01220939,286.0437844,51SVV045197
2025-11-29 04:00:51,1,Medium-Range Surveillance,9221.236788,2.808574452,206.4889717,16.18002628,46.82907767,51SXS985510
2025-11-27 13:03:39,2,Short-Range Fire Control / Tracking,10499.22058,0.703311815,78.87117336,7.192649253,111.960049,50RPP298191
2025-11-30 21:41:04,2,Short-Range Fire Control / Tracking,10522.38547,0.985515695,100.9962506,1.249088144,85.52690385,50RPP298191
2025-12-13 03:43:59,2,Short-Range Fire Control / Tracking,10514.27164,0.22779244,75.0302908,,108.7459556,50RPP298191
2025-11-22 07:49:21,9,Coastal Defense,8077.429671,1.178986049,114.7575272,10.51251286,216.1924622,51SUA399218
2025-12-01 16:32:37,10,Long-Range Tracking / Weather,11199.02253,1.304655729,795.9242064,10.04737806,363.0770727,50RQU166267
2025-12-10 09:03:55,2,Short-Range Fire Control / Tracking,10499.09337,0.374075832,76.10367291,10.48974325,90.06710023,50RPP298191
2025-11-26 00:28:33,2,Short-Range Fire Control / Tracking,10521.3712,0.118244644,99.38091667,1.875016924,122.4795828,50RPP298191
2025-12-07 12:06:11,6,Early Warning,9282.765701,4.42383814,449.1197705,19.31863614,10.16039965,52SDG142415
2025-12-08 16:47:34,8,Medium-Range Search / Ground Mapping,9781.834578,3.415624976,458.8939136,12.71360039,111.5932056,51RWL215712
2025-12-03 09:06:05,2,Short-Range Fire Control / Tracking,10474.35352,0.01,77.64159621,8.305302197,88.72321185,50RPP298191
2025-11-22 23:24:40,5,Air Traffic Control,11132.8815,0.544577297,829.5631674,9.815982916,319.1410158,51RWJ270490
2025-12-18 13:31:28,5,Air Traffic Control, ,1.046807175,775.3298361,4.53077992,323.7521316,51RWJ270490
2025-12-18 07:43:02,1,Medium-Range Surveillance,9183.188078,3.772894764,202.7126283,13.93972198,61.20868911,51SXS985510
